LONGITUDE,LATITUDE,RSSI,APnumber
-7435.0675,4864878.155,-21.86111111111111,11.0
-7535.22797,4864893.274,-38.7,15.0
-7460.7679,4864810.03,-3.1,16.0
-7496.9009,4864897.222,-68.6,37.0
-7478.5447,4864887.151,-76.4,38.0
-7460.7679,4864810.03,-86.3,82.0
-7460.7679,4864810.03,-79.0,83.0
-7460.7679,4864810.03,-51.0,84.0
-7460.7679,4864810.03,-72.65,85.0
-7536.1658,4864897.859,-3.75,90.0
-7524.3513,4864934.49,-10.3,91.0
-7537.092714,4864945.534,-6.65,103.0
-7533.671,4864939.662,-26.25,104.0
-7536.5844,4864918.11,-9.736842105263158,105.0
-7536.5844,4864918.11,-19.42105263157895,106.0
-7423.0609,4864877.686,-27.15,107.0
-7424.753289,4864863.325,-65.0,108.0
-7453.2003,4864828.684,-33.0,109.0
-7458.0822,4864831.377,-85.4,110.0
-7469.8892,4864815.057,-9.85,112.0
-7422.3163,4864895.612,-44.166666666666664,113.0
-7422.3163,4864895.612,-20.266666666666666,114.0
-7417.5584,4864893.06,-48.63636363636363,115.0
-7422.3163,4864895.612,-0.3,116.0
-7555.1456,4864885.259,-85.6,119.0
-7555.1456,4864885.259,-85.35,120.0
-7568.7231,4864876.682,-16.2,123.0
-7568.7231,4864876.682,-45.6,124.0
-7435.0675,4864878.155,-3.9444444444444446,144.0
-7423.0609,4864877.686,-35.6,145.0
-7411.625445,4864887.557,-29.5,146.0
-7424.753289,4864863.325,-41.75,164.0
-7435.1799,4864861.733,-9.9,165.0
-7568.7231,4864876.682,-57.25,166.0
-7568.7231,4864876.682,-57.6,167.0
-7516.8415,4864889.291,-11.789473684210526,168.0
-7516.8415,4864889.291,-1.2105263157894737,169.0
-7537.3219,4864895.776,-3.55,170.0
-7559.6375,4864871.64,-5.95,171.0
-7526.320097,4864919.689,-32.6,172.0
-7524.863818,4864950.191,-34.1,173.0
-7453.2003,4864828.684,-65.4,174.0
-7453.2003,4864828.684,-65.9,175.0
-7458.0822,4864831.377,-15.5,176.0
-7417.5584,4864893.06,-47.68181818181818,177.0
-7485.4686,4864874.716,-42.1,178.0
-7516.1984,4864889.94,-11.064516129032258,179.0
-7435.1799,4864861.733,-51.9,180.0
-7458.0822,4864831.377,-49.0,181.0
-7526.320097,4864919.689,-24.7,182.0
-7536.4092,4864934.618,-6.45,183.0
-7537.3219,4864895.776,-2.45,184.0
-7541.2635,4864920.778,-5.75,185.0
-7460.7679,4864810.03,-44.15,186.0
-7460.7679,4864810.03,-44.65,187.0
-7469.8892,4864815.057,-64.95,188.0
-7469.8892,4864815.057,-64.8,189.0
-7524.3513,4864934.49,-34.55,191.0
-7524.3513,4864934.49,-36.2,192.0
-7422.3163,4864895.612,-8.0,222.0
-7524.3513,4864934.49,-25.1,223.0
-7435.0675,4864878.155,-2.7777777777777777,248.0
-7466.322678,4864859.699,-36.1,257.0
-7466.322678,4864859.699,-12.1,262.0
-7466.322678,4864859.699,-32.6,288.0
-7469.8892,4864815.057,-69.35,312.0
-7469.8892,4864815.057,-1.2,317.0
-7458.4128,4864852.195,-32.1,340.0
-7469.8892,4864815.057,-77.1,368.0
-7469.8892,4864815.057,-39.65,374.0
-7460.7679,4864810.03,-27.85,439.0
-7425.6611,4864873.133,-44.85,478.0
-7423.0609,4864877.686,-8.625,503.0
